staterr,subyr,prop_ipse_missing,ipse_one,flag_1
AK,2010,0,0.19921875,TRUE
AK,2011,0,0.2318840579710145,TRUE
AK,2012,0,0.15985130111524162,TRUE
AK,2013,0,0.20149253731343283,TRUE
AK,2014,0,0.21694915254237288,TRUE
AK,2015,0.07481296758104738,0.17955112219451372,TRUE
AK,2016,0.06363636363636363,0.1509090909090909,TRUE
AK,2017,0.06179775280898876,0.3951310861423221,TRUE
AK,2018,0.03794642857142857,0.48660714285714285,TRUE
AK,2019,0.04609218436873747,0.46693386773547096,TRUE
AL,2010,0,0.39177101967799643,TRUE
AL,2011,0,0.46905537459283386,TRUE
AL,2012,0,0.47819767441860467,TRUE
AL,2013,0,0.5171898355754858,TRUE
AL,2014,0,0.45605095541401275,TRUE
AL,2015,0,0.4446043165467626,TRUE
AL,2016,0,0.3699481865284974,TRUE
AL,2017,0,0.3754646840148699,TRUE
AL,2018,0,0.4023934181002244,TRUE
AL,2019,0,0.6070402298850575,TRUE
AR,2010,0.7884378843788438,0.06519065190651907,FALSE
AR,2011,0.6789250353606789,0.0876944837340877,FALSE
AR,2012,0.7349246231155779,0.08668341708542714,FALSE
AR,2013,0.8596938775510204,0.05994897959183673,FALSE
AR,2014,0.8066914498141264,0.05947955390334572,FALSE
AR,2015,0.704191616766467,0.07065868263473053,FALSE
AR,2016,0.6987542468856173,0.061155152887882216,FALSE
AR,2017,0.723092998955068,0.0522466039707419,FALSE
AR,2018,0.36873508353221957,0.5167064439140812,FALSE
AR,2019,0.3385416666666667,0.5677083333333334,FALSE
AZ,2010,0.014945054945054945,0,FALSE
AZ,2011,0.019967266775777415,6.546644844517185e-4,FALSE
AZ,2012,0,0,FALSE
AZ,2013,0,0.3802388199484898,TRUE
AZ,2014,0.020343908936788568,0.5395979656091063,TRUE
AZ,2015,0.011403073872087258,0.522310361923649,TRUE
AZ,2016,0.005989219405070872,0.48253144340187665,TRUE
AZ,2017,0.004118794710600477,0.48471710383698247,TRUE
AZ,2018,0.0061707233459033254,0.5245114844017826,TRUE
AZ,2019,0.0035688793718772305,0.49839400428265523,TRUE
CA,2010,0.8293693693693693,0.17063063063063064,FALSE
CA,2011,0.8367662203913491,0.16323377960865088,FALSE
CA,2012,0.8216728037874803,0.17832719621251972,FALSE
CA,2013,0.8180770497201185,0.18192295027988145,FALSE
CA,2014,0.8166171178219371,0.1833828821780629,FALSE
CA,2015,0.8120667926906112,0.18793320730938878,FALSE
CA,2016,0.8065136935603257,0.19348630643967432,FALSE
CA,2017,0.8112283922288511,0.18877160777114885,FALSE
CA,2018,0.810274188465175,0.1897258115348251,FALSE
CA,2019,0.7909299279633268,0.20907007203667322,FALSE
CO,2010,0,0.025974025974025976,TRUE
CO,2011,0,0.02102973168963017,TRUE
CO,2012,0,0.029306647605432452,TRUE
CO,2013,0,0.04249667994687915,TRUE
CO,2014,0,0.04110468850353243,TRUE
CO,2015,0,0.0420353982300885,TRUE
CO,2016,0,0.03464641670621737,TRUE
CO,2017,0,0.029556650246305417,TRUE
CO,2018,0,0.013814616755793227,TRUE
CO,2019,0,0.01806451612903226,TRUE
CT,2010,0.16666666666666666,0.0020325203252032522,FALSE
CT,2011,0.1852207293666027,0.005758157389635317,FALSE
CT,2012,0.21027592768791628,0.005708848715509039,FALSE
CT,2013,0.18486486486486486,0.001081081081081081,FALSE
CT,2014,0.21782178217821782,0.005940594059405941,FALSE
CT,2015,0.18829268292682927,0.06829268292682927,TRUE
CT,2016,0.1474694589877836,0.08289703315881326,TRUE
CT,2017,0.16838760921366164,0.09293089753772836,TRUE
CT,2018,0.15557553956834533,0.09352517985611511,TRUE
CT,2019,0.18181818181818182,0.11650485436893204,TRUE
DC,2010,0.3333333333333333,0.23529411764705882,FALSE
DC,2011,0.3,0.2,FALSE
DC,2012,0.3392857142857143,0.14285714285714285,FALSE
DC,2013,0.23880597014925373,0.14925373134328357,FALSE
DC,2014,0.23255813953488372,0.23255813953488372,FALSE
DC,2015,0.3181818181818182,0.13636363636363635,FALSE
DC,2016,0.31958762886597936,0.15463917525773196,FALSE
DC,2017,0.30097087378640774,0.14563106796116504,FALSE
DC,2018,0.2553191489361702,0.3049645390070922,FALSE
DC,2019,0.18235294117647058,0.5235294117647059,TRUE
DE,2010,0.8288888888888889,0.09777777777777778,FALSE
DE,2011,0.8257756563245824,0.081145584725537,FALSE
DE,2012,0.8591549295774648,0.09154929577464789,FALSE
DE,2013,0.8487394957983193,0.06722689075630252,FALSE
DE,2014,0.8820375335120644,0.07506702412868632,FALSE
DE,2015,0.8619153674832962,0.08463251670378619,FALSE
DE,2016,0.8640776699029126,0.1029126213592233,FALSE
DE,2017,0.8594059405940594,0.10693069306930693,FALSE
DE,2018,0.945179584120983,0.04158790170132325,FALSE
DE,2019,0.9393939393939394,0.049441786283891544,FALSE
GA,2010,0,0.24772605671482076,TRUE
GA,2011,0,0.26855345911949685,TRUE
GA,2012,0,0.2060280759702725,TRUE
GA,2013,0,0.31784232365145226,TRUE
GA,2014,0,0.284247927358863,TRUE
GA,2015,0,0.24193548387096775,TRUE
GA,2016,0.771462544589774,0.2285374554102259,FALSE
GA,2017,0.6212032137958063,0.3787967862041936,FALSE
GA,2018,0.5270963017209813,0.4729036982790187,FALSE
GA,2019,0.3891891891891892,0.6108108108108108,FALSE
HI,2010,0,0.5668449197860963,TRUE
HI,2011,0,0.5548780487804879,TRUE
HI,2012,0,0.6185567010309279,TRUE
HI,2013,0,0.6743119266055045,TRUE
HI,2014,0,0.7489878542510121,TRUE
